"nest1","nest2","weight","site_comb","site_same_other","site_same_semi_other","dyad_ID","spatial","spatial_z","spatial_weight","prospect_weight","spatial_weight_z","prospect_weight_z","year","nest1_anthro","nest2_anthro","anthro","anthro_binary"
"Z45","Z02",0.428571428571428,"ZZ","same","same","Z02_Z45",237.161180367595,1.46250693591544,0.364527359955018,0,-1.46222226302984,NA,"2024",1,1,2,1
"Z05","Z03",0.714285714285714,"ZZ","same","same","Z03_Z05",65.2925231512577,-0.686322795773141,0.831320773554925,0,0.686189204960046,NA,"2024",1,1,2,1
"Z06","Z03",0.571428571428571,"ZZ","same","same","Z03_Z06",55.8297991076952,-0.804632807016067,0.857021429682635,0,0.804476187490104,NA,"2024",0,1,1,0
"Z07","Z03",0.666666666666667,"ZZ","same","same","Z03_Z07",55.734642081899,-0.805822530898954,0.85727987513522,0,0.805665679796563,NA,"2024",0,1,1,0
"Z08","Z03",0.714285714285714,"ZZ","same","same","Z03_Z08",33.5078259258153,-1.08371871145065,0.917647667349342,0,1.08350776863377,NA,"2024",1,1,2,1
"Z10","Z03",1,"ZZ","same","same","Z03_Z10",55.1710530420947,-0.812868940086064,0.858810576870014,0,0.812710717419828,NA,"2024",1,1,2,1
"Z11","Z03",0.571428571428571,"ZZ","same","same","Z03_Z11",50.8075499083078,-0.867424700397818,0.870661804173841,0,0.867255858605386,NA,"2024",1,1,2,1
"Z13","Z03",0.666666666666667,"ZZ","same","same","Z03_Z13",69.4317064692141,-0.634571648573926,0.820078796444039,0,0.634448130976927,NA,"2024",1,1,2,1
"Z14","Z03",0.833333333333333,"ZZ","same","same","Z03_Z14",63.9532869827552,-0.703066922033514,0.83495812449975,0,0.702930072023062,NA,"2024",1,1,2,1
"Z15","Z03",0.571428571428571,"ZZ","same","same","Z03_Z15",72.1782927642669,-0.600231784708993,0.812619097781237,0,0.600114951270473,NA,"2024",1,1,2,1
"Z16","Z03",0.666666666666667,"ZZ","same","same","Z03_Z16",84.4629701350018,-0.446639614932457,0.779254046946862,0,0.446552677780308,NA,"2024",1,1,2,1
"Z17","Z03",0.571428571428571,"ZZ","same","same","Z03_Z17",93.3869294840578,-0.335065640455573,0.755016669900684,0,0.335000420865572,NA,"2024",1,1,2,1
"Z18","Z03",0.6,"ZZ","same","same","Z03_Z18",59.456430824266,-0.759289961004053,0.847171537175959,0,0.759142167336277,NA,"2024",0,1,1,0
"Z19","Z03",0.8,"ZZ","same","same","Z03_Z19",53.7763718549747,-0.830306281190893,0.86259851588556,0,0.830144664394969,NA,"2024",0,1,1,0
"Z20","Z03",1,"ZZ","same","same","Z03_Z20",53.0580603238224,-0.839287145996346,0.864549442232955,0,0.839123781100201,NA,"2024",1,1,2,1
"Z21","Z03",0.666666666666667,"ZZ","same","same","Z03_Z21",50.5238737666037,-0.870971430426071,0.871432265505695,0,0.870801898272557,NA,"2024",1,1,2,1
"Z22","Z03",0.833333333333333,"ZZ","same","same","Z03_Z22",61.408217595232,-0.73488727169876,0.841870505421859,0,0.734744227946222,NA,"2024",1,1,2,1
"Z23","Z03",0.5,"ZZ","same","same","Z03_Z23",52.1394867397732,-0.850771835875921,0.867044278149438,0,0.850606235517004,NA,"2024",1,1,2,1
"Z24","Z03",0.8,"ZZ","same","same","Z03_Z24",46.8938970458027,-0.91635609816788,0.881291243007672,0,0.916177732015695,NA,"2024",0,1,1,0
"Z26","Z03",0.571428571428571,"ZZ","same","same","Z03_Z26",57.8494344153842,-0.779381824861321,0.85153612203683,0,0.779230120368427,NA,"2024",1,1,2,1
"Z27","Z03",0.666666666666667,"ZZ","same","same","Z03_Z27",99.8534329982132,-0.254216605871011,0.737453716315558,0,0.25416712331952,NA,"2024",0,1,1,0
"Z28","Z03",0.666666666666667,"ZZ","same","same","Z03_Z28",102.237437279452,-0.224410011911588,0.7309787864796,0,0.224366331130267,NA,"2024",1,1,2,1
"Z29","Z03",0.714285714285714,"ZZ","same","same","Z03_Z29",105.571560078874,-0.182724329853341,0.721923345027326,0,0.18268876307347,NA,"2024",1,1,2,1
"Z30","Z03",0.666666666666667,"ZZ","same","same","Z03_Z30",114.959943156084,-0.0653437846420138,0.696424598159953,0,0.0653310656570475,NA,"2024",1,1,2,1
"Z31","Z03",1,"ZZ","same","same","Z03_Z31",122.057173195343,0.0233910618855675,0.677148598156302,0,-0.0233865088807776,NA,"2024",1,1,2,1
"Z32","Z03",0.8,"ZZ","same","same","Z03_Z32",133.423938808718,0.165506816431839,0.646276585724284,0,-0.165474600992813,NA,"2024",1,1,2,1
"Z33","Z03",0.833333333333333,"ZZ","same","same","Z03_Z33",146.319603815363,0.326738007883438,0.611252099080882,0,-0.326674409243831,NA,"2024",1,1,2,1
"Z35","Z03",0.571428571428571,"ZZ","same","same","Z03_Z35",62.8165567543832,-0.717279168473306,0.838045471502037,0,0.717139552088826,NA,"2024",1,1,2,1
"Z38","Z03",0.666666666666667,"ZZ","same","same","Z03_Z38",68.808414440841,-0.642364508911497,0.821771650849876,0,0.642239474456023,NA,"2024",0,1,1,0
"Z39","Z03",0.714285714285714,"ZZ","same","same","Z03_Z39",68.3690680999759,-0.647857543505763,0.822964910758498,0,0.647731439846464,NA,"2024",1,1,2,1
"Z40","Z03",0.6,"ZZ","same","same","Z03_Z40",64.7938048810341,-0.692558142369489,0.832675286981356,1,0.692423337863614,NA,"2024",0,1,1,0
"Z41","Z03",0.666666666666667,"ZZ","same","same","Z03_Z41",134.912990617081,0.184124049205169,0.64223233712241,0,-0.184088209973841,NA,"2024",1,1,2,1
"Z42","Z03",0.571428571428571,"ZZ","same","same","Z03_Z42",199.245392583746,0.988455567795581,0.467506229375485,0,-0.988263167683238,NA,"2024",1,1,2,1
"Z43","Z03",0.666666666666667,"ZZ","same","same","Z03_Z43",241.79902861111,1.52049276275634,0.351931014301234,0,-1.52019680309169,NA,"2024",1,1,2,1
"Z44","Z03",0.8,"ZZ","same","same","Z03_Z44",204.378460663572,1.05263300121107,0.453564872003928,0,-1.05242810914077,NA,"2024",0,1,1,0
