"from","to","trial","spatial_weight","prospect_weight"
"Y18","Y16",1,0.944841677262451,0
"Y18","Y17",1,0.960787093189913,1
"Y18","Y19",1,0.735231330028481,0
"Y18","Y21",1,0.742588754228602,0
"Y18","Y22",1,0.726485418629547,0
"Y18","Y23",1,0.706627310927051,0
"Y18","Y26",1,0.627155539644587,0
"Y18","Y27",1,0.564294780600571,0
"Y18","Y28",1,0.542229400988398,0
"Y18","Y29",1,0.517319985552358,0
"Y18","Y30",1,0.544883534827542,0
"Y18","Y31",1,0.43461921979957,0
"Y18","Y33",1,0.409303248469468,0
"Y18","Y35",1,0.617442707782241,0
"Y19","Y01",1,0.748871031280391,0
"Y19","Y02",1,0.781947365551239,0
"Y19","Y03",1,0.801329052493737,0
"Y19","Y04",1,0.784984379009896,0
"Y19","Y05",1,0.764108824286903,0
"Y19","Y06",1,0.748694897212407,0
"Y19","Y07",1,0.724108420698531,0
"Y19","Y08",1,0.69227680712052,0
"Y19","Y09",1,0.664036099322917,0
"Y19","Y10",1,0.670741536956834,0
"Y19","Y11",1,0.865011018537738,0
"Y19","Y12",1,0.903312069357488,0
"Y19","Y14",1,0.654614917677214,0
"Y19","Y16",1,0.779412861177014,0
"Y19","Y17",1,0.771257225417393,0
"Y19","Y18",1,0.735231330028481,0
"Y19","Y21",1,0.939794509656601,1
"Y19","Y22",1,0.911332500903474,0
"Y19","Y23",1,0.708177086569267,0
"Y19","Y26",1,0.56881134006382,0
"Y19","Y27",1,0.491465143211827,0
"Y19","Y28",1,0.464599619635321,0
"Y19","Y29",1,0.433147283643411,0
"Y19","Y30",1,0.440874454981892,0
"Y19","Y31",1,0.344595932378369,0
"Y19","Y33",1,0.40414931009416,0
"Y19","Y35",1,0.616213369073132,0
"Y21","Y01",1,0.716145799401628,0
"Y21","Y02",1,0.739314272722541,0
"Y21","Y03",1,0.742783977308827,0
"Y21","Y04",1,0.724033579969189,0
"Y21","Y05",1,0.700925281803509,0
"Y21","Y06",1,0.68500210676954,0
"Y21","Y07",1,0.659508089938841,0
"Y21","Y08",1,0.627102708502212,0
"Y21","Y09",1,0.597594499200389,0
"Y21","Y10",1,0.60403460067809,0
"Y21","Y11",1,0.809408308530435,0
"Y21","Y12",1,0.843829048527009,0
"Y21","Y14",1,0.640599189977019,0
"Y21","Y16",1,0.772564531841717,0
"Y21","Y17",1,0.768818540785069,0
"Y21","Y18",1,0.742588754228602,0
"Y21","Y19",1,0.939794509656601,0
"Y21","Y22",1,0.977767793559826,0
"Y21","Y23",1,0.774645145190237,0
"Y21","Y26",1,0.63399964420708,0
"Y21","Y27",1,0.55669743582027,0
"Y21","Y28",1,0.529775930002561,0
"Y21","Y29",1,0.498130095747464,0
"Y21","Y30",1,0.503793213591343,0
"Y21","Y31",1,0.409920721301495,0
"Y21","Y33",1,0.473001749196602,0
"Y21","Y35",1,0.68439971469404,0
"Y22","Y01",1,0.710758657837945,0
"Y22","Y02",1,0.728798303808355,0
"Y22","Y03",1,0.723954925845408,0
"Y22","Y04",1,0.703936328790051,0
"Y22","Y05",1,0.679513089615365,0
"Y22","Y06",1,0.663313721932264,0
"Y22","Y07",1,0.637249018564626,0
"Y22","Y08",1,0.604493568455315,0
"Y22","Y09",1,0.573923112190592,0
"Y22","Y10",1,0.580085116144653,0
"Y22","Y11",1,0.791137235750935,0
"Y22","Y12",1,0.813002141210841,0
"Y22","Y14",1,0.6183394377054,0
"Y22","Y16",1,0.751045584497475,0
"Y22","Y17",1,0.748771681450819,0
"Y22","Y18",1,0.726485418629547,0
"Y22","Y19",1,0.911332500903474,0
"Y22","Y21",1,0.977767793559826,1
"Y22","Y23",1,0.795518419592363,0
"Y22","Y26",1,0.653990204845531,0
"Y22","Y27",1,0.576983679096229,0
"Y22","Y28",1,0.550063851424022,0
"Y22","Y29",1,0.518269318017334,0
"Y22","Y30",1,0.521784827219675,0
"Y22","Y31",1,0.430595712964014,0
"Y22","Y33",1,0.499979641031034,0
"Y22","Y35",1,0.708752057323189,0
"Y23","Y01",1,0.51088944373504,0
"Y23","Y02",1,0.520741945029453,0
"Y23","Y03",1,0.510824237584917,0
"Y23","Y04",1,0.491009366459682,0
"Y23","Y05",1,0.467166668479768,0
"Y23","Y06",1,0.451141479070585,0
"Y23","Y07",1,0.425519598506544,0
"Y23","Y08",1,0.393093651516857,0
"Y23","Y09",1,0.363832070704192,0
"Y23","Y10",1,0.370406602624609,0
"Y23","Y11",1,0.578001241418709,0
"Y23","Y12",1,0.633989675143387,0
"Y23","Y14",1,0.573062868851202,0
"Y23","Y16",1,0.685347592734129,0
"Y23","Y17",1,0.694372888469083,0
"Y23","Y18",1,0.706627310927051,0
"Y23","Y19",1,0.708177086569267,0
"Y23","Y21",1,0.774645145190237,0
"Y23","Y22",1,0.795518419592363,1
"Y23","Y26",1,0.867033218847232,0
"Y23","Y27",1,0.790119819452075,0
"Y23","Y28",1,0.763199453075795,0
"Y23","Y29",1,0.731403478265426,0
"Y23","Y30",1,0.733266094678219,0
"Y23","Y31",1,0.643635981337035,0
"Y23","Y33",1,0.690734103052706,0
"Y23","Y35",1,0.909835536715067,0
"Y26","Y01",1,0.372026990875771,0
"Y26","Y02",1,0.379884300413836,0
"Y26","Y03",1,0.369353078785472,0
"Y26","Y04",1,0.349750700400946,0
"Y26","Y05",1,0.326272804589819,0
"Y26","Y06",1,0.310354617905209,0
"Y26","Y07",1,0.284989039938615,0
"Y26","Y08",1,0.252768807784034,0
"Y26","Y09",1,0.224204340980346,0
"Y26","Y10",1,0.230967591357913,0
"Y26","Y11",1,0.436500729031099,0
"Y26","Y12",1,0.502251818963097,0
"Y26","Y14",1,0.499141497059225,0
"Y26","Y16",1,0.588342882820913,0
"Y26","Y17",1,0.600858292321829,0
"Y26","Y18",1,0.627155539644587,0
"Y26","Y19",1,0.56881134006382,0
"Y26","Y21",1,0.63399964420708,0
"Y26","Y22",1,0.653990204845531,0
"Y26","Y23",1,0.867033218847232,0
"Y26","Y27",1,0.931301232097553,0
"Y26","Y28",1,0.90440554685853,0
"Y26","Y29",1,0.872781093201687,0
"Y26","Y30",1,0.872833108245527,0
"Y26","Y31",1,0.784432481034165,0
"Y26","Y33",1,0.787327799009367,0
"Y26","Y35",1,0.922067278144554,0
"Y27","Y01",1,0.297909270885379,0
"Y27","Y02",1,0.30425584064574,0
"Y27","Y03",1,0.292291682808354,0
"Y27","Y04",1,0.272563147626794,0
"Y27","Y05",1,0.248981795108633,0
"Y27","Y06",1,0.233045532901537,0
"Y27","Y07",1,0.207651459061399,0
"Y27","Y08",1,0.175419368775294,0
"Y27","Y09",1,0.146864412117593,0
"Y27","Y10",1,0.153638822286402,0
"Y27","Y11",1,0.359466545870304,0
"Y27","Y12",1,0.426081397137378,0
"Y27","Y14",1,0.440830578224671,0
"Y27","Y16",1,0.520803034986007,0
"Y27","Y17",1,0.534167485503845,0
"Y27","Y18",1,0.564294780600571,0
"Y27","Y19",1,0.491465143211827,0
"Y27","Y21",1,0.55669743582027,0
"Y27","Y22",1,0.576983679096229,0
"Y27","Y23",1,0.790119819452075,0
"Y27","Y26",1,0.931301232097553,0
"Y27","Y28",1,0.981725050684627,0
"Y27","Y29",1,0.949921003826799,0
"Y27","Y30",1,0.938738485532799,0
"Y27","Y31",1,0.861784184103769,0
"Y27","Y33",1,0.824985070461034,0
"Y27","Y35",1,0.860694810940064,0
"Y28","Y01",1,0.271583233473629,0
"Y28","Y02",1,0.277585680240882,0
"Y28","Y03",1,0.265369579008786,0
"Y28","Y04",1,0.245633820871394,0
"Y28","Y05",1,0.222057566774652,0
"Y28","Y06",1,0.20612489100347,0
"Y28","Y07",1,0.180741780096602,0
"Y28","Y08",1,0.148520721195079,0
"Y28","Y09",1,0.120010198372806,0
"Y28","Y10",1,0.126797534385352,0
"Y28","Y11",1,0.33254652712355,0
"Y28","Y12",1,0.399780121882274,0
"Y28","Y14",1,0.42047434320693,0
"Y28","Y16",1,0.497351804274296,0
"Y28","Y17",1,0.510964887496406,0
"Y28","Y18",1,0.542229400988398,0
"Y28","Y19",1,0.464599619635321,0
"Y28","Y21",1,0.529775930002561,0
"Y28","Y22",1,0.550063851424022,0
"Y28","Y23",1,0.763199453075795,0
"Y28","Y26",1,0.90440554685853,0
"Y28","Y27",1,0.981725050684627,0
"Y28","Y29",1,0.97677570123853,0
"Y28","Y30",1,0.955511173585949,1
"Y28","Y31",1,0.888641470068489,0
"Y28","Y33",1,0.83037752096051,0
"Y28","Y35",1,0.835707155295933,0
"Y29","Y01",1,0.239879052247539,0
"Y29","Y02",1,0.245725606234839,0
"Y29","Y03",1,0.233584209347917,0
"Y29","Y04",1,0.213900708481747,0
"Y29","Y05",1,0.190401689216291,0
"Y29","Y06",1,0.174490988294714,0
"Y29","Y07",1,0.1491590480722,0
"Y29","Y08",1,0.116979679667263,0
"Y29","Y09",1,0.0886010055684926,0
"Y29","Y10",1,0.0954212678205545,0
"Y29","Y11",1,0.300753794446841,0
"Y29","Y12",1,0.369373605047723,0
"Y29","Y14",1,0.397833428353059,0
"Y29","Y16",1,0.470774865523217,0
"Y29","Y17",1,0.484687084471939,0
